ABBR,TERM
SBA,Santa Barbara Municipal Airport,
SCF,Scottsdale Airport,
SCN,Ensheim Airport,
SCQ,Santiago De Compostela Airport,
SCR,Scandinavian Mountains Airport,
SCS,Scatsta,
SCT,Socotra,
SCU,Antonio Maceo Airport,
SCV,Suceava Airport,
YXT,Northwest Regional Airport,
DHM,Gaggal Airport,
SDL,Sundsvall-Timra Airport,
DHN,Dothan Regional Airport,
SDQ,Las Americas International Airport,
RTE,Marguerite Bay,
YTB,Hartley Bay,
DHT,Dalhart,
DIB,Dibrugarh Airport,
DIE,Antsiranana/Arrachart,
YWY,Wrigley,
YXJ,North Peace Regional Airport,
DIG,Diqing Shangri-La Airport,
DIJ,Dijon,
DIK,Dickinson Regional Airport,
DIL,Comoro Airport,
DIM,Dimbokro,
DIN,Dien Bien Airport,
DIQ,Divinopolis,
DIS,Loubomo,
DIU,Diu Airport,
DIV,Divo,
DIY,Diyarbakir Airport,
DJB,Sultan Thaha Airport,
DKK,Dunkirk,
DKS,Dikson,
DMB,Jambyl Airport,
DME,Moscow Domodedovo Airport,
DMK,Don Mueang International Airport,
ZFD,Fond-du-Lac Airport,
ZEL,Bella Bella Airport,
BMK,Borkum,
SDR,Santander Airport,
BMM,Bitam,
ZGS,Gethsemani,
SDU,Santos Dumont Airport,
BOZ,Bozoum,
SEA,Seattle-Tacoma International Airport,
YZX,Greenwood,
SEK,Srednekolymsk Airport,
SEN,London Southend Airport,
SEV,Severodoneck,
SIU,Siuna,
SJY,Ilmajoki,
PUO,Prudhoe Bay,
SKB,Robert L. Bradshaw International Airport,
SKD,Samarkand Airport,
SKE,Skien,
RED,Mifflin County,
JQA,Qaarsut Airport,
DJJ,Sentani Airport,
DJO,Daloa,
ZAC,York Landing,
DKR,Leopold Sedar Senghor International Airport,
SON,Santo Pekoa International Airport,
DLB,Dalbertis,
RMI,Miramare Airport,
RMQ,Taichung International Airport,
RNE,Renaison,
DLE,Dole-Jura Airport,
DLF,Laughlin AFB,
DLH,Duluth International Airport,
RNG,Rangely,
RNN,Bornholm Airport,
RNO,Reno/Tahoe International Airport,
DLI,Lien Khuong Airport,
SCE,University Park Airport,
DLL,Dillon,
DLM,Dalaman Airport,
DLN,Dillon,
DLR,Dalnerechensk Airport,
DLS,Columbia Gorge Regional/The Dalles Municipal Airport,
DLU,Dali Airport,
DLV,Delissaville,
DLZ,Dalanzadgad,
DMA,Davis Monthan AFB,
MPF,Mapoda,
MMP,Mompos,
RFN,Raufarhofn,
RIR,Riverside Fla-Bob,
SEZ,Seychelles International Airport,
PTV,Porterville,
PTW,Pottstown/Limerick,
PUN,Punia,
PUF,The Pau-Pyrenees International Airport,
PUG,Port Augusta,
PUH,Pochutla,
PTP,Pointe-a-Pitre International Airport,
PTQ,Porto de Moz,
PTS,Atkinson Municipal Airport,
PTY,Tocumen International Airport,
PUB,Pueblo Memorial Airport,
PUT,Puttaprathe,
PUC,Carbon County,
PUE,Puerto Obaldia,
ADI,Arandis,
ADY,Alldays,
AGW,Agnew,
PUJ,Punta Cana International Airport,
PUL,Poulsbo,
PUM,Pomala,
PUS,Gimhae International Airport,
ZSJ,Sandy Lake,
DMN,Deming,
DMU,Dimapur Airport,
DNA,Kadena AB,
DNE,Dallas North Airport,
DNF,Martuba,
DNK,Dnepropetrovsk International Airport,
DNL,Daniel Field,
PXA,Atung Bungsu Airport,
ALK,Asela,
BCO,Jinka,
BEI,Beica,
BJR,Bahar Dar Airport,
BOK,Brookings State,
DNO,Dianopolis,
DNQ,Deniliquin,
DNR,Pleurtuit Airport,
MRH,May River,
DNS,Municipal,
DNT,Downtown Heliport,
YRR,Stuart Island,
RRI,Barora,
SMI,Samos Airport,
PXL,Polacca,
PXM,Puerto Escondido Airport,
PXS,Puerto De Santa Maria,
PYA,Puerto Boyaca,
PYB,Jeypore,
DEM,Dembidollo,
PYC,Playon Chico,
DGC,Degahbur,
DGM,Dongguan,
ABK,Kabri Dar,
PYG,Gangtok-Pakyong Airport,
AWA,Awassa,
DIR,Aba Tenna D Yilma Airport,
PYR,Andravida,
PYS,Skypark,
BQO,Bouna,
CAX,Carlisle,
CRF,Carnot,
DBT,Debra Tabor,
PYV,Yaviza,
PZH,Zhob,
PZL,Zulu Inyala,
PZE,Penzance,
QGV,Neu Isenburg,
PZK,Puka Puka Island,
DJA,Djougou,
DJE,Melita Airport,
DNV,Vermilion County,
DNZ,Cardak Airport,
DOC,Dornoch,
DOH,Hamad International Airport,
DOL,Saint Gatien Airport,
PZU,Port Sudan Airport,
QAQ,L'Aquila–Preturo Airport,
DOR,Dori,
DOS,Dios,
DOU,Dourados Airport,
DOV,Dover AFB,
DOY,Dongying Airport,
DPA,DuPage Airport,
DPE,Dieppe,
DPG,Michael AAF,
DPK,Deer Park,
DRY,Drysdale River,
MSG,Matsaile,
MTF,Mizan Teferi,
NEK,Nekemt,
YGT,Igloolik Airport,
ASO,Asosa Airport,
QCY,Coningsby RAF Station,
BRP,Biaru,
QFK,Harbour,
QFQ,Harbour,
QGQ,Heliport,
WMK,SPB,
DND,Dundee Airport,
DNU,Dinangat,
DON,Dos Lagunas,
DPL,Dipolog Airport,
DPS,Ngurah Rai International Airport,
DPT,Deputatsky,
DPU,Dumpu,
DQA,Daqing Shi Airport,
DRI,Beauregard Parish,
DRO,Durango-La Plata County Airport,
DRT,Del Rio International Airport,
DRU,Drummond,
DRV,Dharavandhoo AIrport,
DRW,Darwin International Airport,
DSA,Doncaster Sheffield Airport,
DSD,La Desirade,
DSE,Combolcha,
DSG,Dilasag,
DSI,Destin-Fort Walton Beach Airport,
DSK,Dera Ismail Khan,
DSM,Des Moines International Airport,
DSN,Ordos Ejin Horo Airport,
DSO,Sondok,
DSS,Blaise Diagne International Airport,
PYK,Payam,
PYY,Pai Airport,
PZB,Pietermaritzburg Airport,
PZI,Pan Zhi Hua Bao An Ying,
PZO,Manuel Carlos Piar Guayana Airport,
PZY,Piestany,
DSV,Dansville,
ALU,Alula,
DSX,Dongsha Island,
RAV,Cravo Norte,
BBO,Berbera,
BIB,Baidoa,
BJM,Bujumbura International Airport,
BLW,Bellows Field,
BSA,Bossaso,
BSW,Boswell Bay,
DTA,Delta,
BSY,Bardera,
DTE,Naga,
DTI,Diamantina,
RAZ,Rawala Kot,
LGX,Lugh Ganane,
DTB,Sisingamangaraja XII International Airport,
DTL,Municipal,
DTM,Dortmund Airport,
DTU,Wudalianchi Dedu Airport,
DUR,King Shaka International Airport,
DVK,Diavik,
BUO,Burao,
DVL,Devils Lake Airport,
CMO,Obbia,
DVN,Davenport,
DVO,Francisco Bangoy Intl Airport,
CMS,Scusciuban,
CSO,Cochstedt,
CTW,Cottonwood,
CUJ,Culion,
CXN,Candala,
ENS,Twente,
RBA,Sale Airport,
ZQF,Fohren,
RBE,Ratanakiri,
RAE,Arar Airport,
RBG,Roseburg Municipal Airport,
RAI,Nelson Mandela International Airport,
RBL,Red Bluff Fss,
RAK,Menara Airport,
RBN,Fort Jefferson,
RAP,Rapid City Regional Airport,
RAR,Rarotonga Airport,
RAS,Rasht Airport,
RBM,Wallmuhle,
RDG,Municipalcipal/Spaatz Field,
YMU,Mansons Landing SPB,
AAC,El Arish International Airport,
CNP,Neerlerit Inaat Airport,
RCR,Fulton County,
DBB,Alalamain International,
RDO,Radom Airport,
RDE,Merdey,
RDR,Grand Forks AFB,
RBX,Rumbek,
RDZ,Marcillac Airport,
KEW,Keewaywin,
DTW,Detroit Metropolitan Wayne County Airport,
DUA,Eaker,
DUB,Dublin Airport,
DUC,Halliburton Field,
DUD,Dunedin International Airport,
DUG,Bisbee-Douglas International,
DUJ,Du Bois-Jefferson County,
DUK,Dukuduk,
REB,Rechlin,
RCB,Richards Bay Airport,
RCH,Riohacha Airport,
RCO,Saint Agnant,
RCS,Rochester,
RDD,Redding Municipal Airport,
RDM,Roberts Field Redmond Municipal Airport,
RDP,Kazi Nazrul Islam Airport,
RDS,Rincon de los Sauces,
DUM,Pinang Kampai,
DUQ,Duncan/Quam,
DVP,Davenport Downs,
DVR,Daly River,
DVT,Phoenix Deer Valley Airport,
DWA,Dwangwa,
DWB,Soalala,
DWD,Dawadmi Airport,
DWS,Walt Disney World,
MWI,Maramuni,
RDT,Richard Toll,
RDU,Raleigh-Durham International Airport,
UPR,Upiara,
REC,Guararapes-Gilberto Freyre International Airport,
RFD,Chicago Rockford International Airport,
RFA,Rafai,
RFR,Rio Frio,
RFK,Rollang Field,
RGA,Rio Grande Airport,
KDJ,Ndjole-Ville,
RGH,Balurghat,
RHD,Rio Hondo Airport,
RHG,Ruhengeri,
RGR,Ranger Municipalcipal,
RGT,Japura,
ABS,Abu Simbel,
ALY,El Nohza,
ATZ,Assiut Airport,
RHA,Reykholar,
BUX,Bunia,
CAI,Cairo International Airport,
CCE,Grand Case,
CSE,Crested Butte,
CUX,Cuddihy Field,
RHE,Reims,
RHN,Rosh Pina,
DWR,Dwyer Air Base,
DAK,Dakhla,
DXD,Dixie,
DXE,Bruce Campbell Field,
DXR,Danbury Municipal Airport,
DYA,Dysart,
DYL,Doylestown,
DYR,Anadyr Airport,
DYS,Dyess AFB,
DYU,Dushanbe Airport,
DYW,Daly Waters,
DZA,Dzaoudzi Airport,
DZI,Codazzi,
DZN,Zhezhazgan Airport,
EAB,Abbse,
EAM,Nejran,
EAN,Phifer Field,
EAR,Kearney Regional Airport,
EAS,San Sebastian Airport,
EAT,Pangborn Field,
EAU,Eau Claire Airport,
EBA,Marina Di Campo Airport,
EBG,El Bagre,
DZO,Santa Bernardina,
KUE,Kukundu,
YOH,Oxford House,
DZU,Dazu,
NAZ,Nana,
MZN,Minj,
PNP,Girua Airport,
RHT,Alxa Right Banner,
RIA,Santa Maria Airport,
RIB,Gen Buech Airport,
RIZ,Rio Alzucar,
RJA,Rajahmundry Airport,
RJH,Rajshahi Airport,
ASW,Aswan Airport,
RKR,Robert S Kerr,
RKC,Yreka,
BJE,Baleela,
BVP,Bolovip,
BWJ,Bawan,
CHP,Circle Hot Springs,
RKH,Rock Hill,
RKI,Rokot,
RKO,Sipora,
RKP,Aransas County,
EBH,El Bayadh,
EBJ,Esbjerg Airport,
RKU,Kairuku,
EBL,Erbil International Airport,
RKV,Reykjavik International Airport,
RKW,Rockwood Municipal Airport,
EBM,El Borma,
RKZ,Peace,
RLI,Reilly AHP,
RLO,Valle Del Conlara,
ROZ,US Naval Station,
RPA,Rolpa,
RQW,West,
RRA,Ronda,
EBR,Downtown,
EBS,Municipal,
EBU,Boutheon Airport,
ECA,Emmet County Airport,
ECG,Elizabeth City,
ECH,Echuca,
ECI,Costa Esmeralda Airport,
ECN,Ercan Airport,
ECP,NW Florida Beaches Int,
ECS,Mondell,
NRL,North Ronaldsay Airport,
EDD,Erldunda,
KWS,Kwailabesi Aerodrom,
SGB,Singaua,
RRG,Rodrigues Island Airport,
RRN,Serra Norte,
RRO,Sorrento,
RSE,Rose Bay,
RSG,Serra Pelada,
RSI,Rio Sidra,
ROP,Rota Airport,
ASA,Assab International,
RSL,Russell,
RSS,Roseires,
ROR,Airai Airport,
ROU,Rousse,
ROV,Platov International Airport,
EDE,Municipal,
ROW,Roswell International Air Center,
TCP,Taba International,
EDG,Weide AAF,
ASM,Asmara International Airport,
ASV,Amboseli,
BXZ,Bunsil,
DBM,Debra Marcos,
RRJ,Jacarepaguá Airport,
RPN,Rosh Pina,
RPR,Swami Vivekananda Airport,
RQA,Ruoqiang Loulan Airport,
RRK,Rourkela,
RSD,South Eleuthera Airport,
RSK,Ransiki,
RUH,King Khaled International Airport,
RTG,Ruteng,
RTW,Saratov Tsentralny Airport,
KLK,Kalokol,
RUM,Rumjatar,
RUS,Marau Sound,
EDI,Edinburgh Airport,
EDK,El Dorado,
EDL,Eldoret Airport,
EDM,Les Ajoncs,
EDO,Balikesir Koca Seyit Airport,
EDW,Edwards AFB,
EED,Needles,
EEN,Dillant-Hopkins,
LOK,Lodwar Airport,
OTV,Ontong Java,
UVO,Uvol,
BYT,Bantry,
RUT,Rutland Airport,
KGM,Kungum,
RUV,Rubelsanto,
RUY,Copan,
RVD,Rio Verde Airport,
RVE,Los Colonizadores,
RVI,Rostov Airport,
YDT,Boundary Bay Airport,
RVK,Ryumsjoen Airport,
EOI,Eday Airport,
RVO,Reivilo,
RVR,Green River,
RVS,R.Lloyd Jones,
EFD,Ellington Field,
EFG,Efogi,
EFL,Kefallinia Airport,
SAB,J. Yrausquin Airport,
EFW,Municipal,
SAC,Sacramento Executive Airport,
EGC,Roumanieres Airport,
SAD,Safford,
SAE,Sangir,
SAF,Santa Fe,
SAR,Sparta Community,
SAS,Salton City,
SAV,Savannah/Hilton Head Airport,
SAZ,Sasstown,
SAU,Sawu,
KEU,Kelly Bar,
SAX,Sambu,
SAY,Siena,
WPC,Pincher Creek,
EGE,Eagle County Airport,
EGI,Duke Field,
EGO,Belgorod Airport,
EGP,Maverick Co,
EGV,Eagle River,
EHL,El Bolson,
EIB,Eisenach,
EIE,Eniseysk,
EIH,Einasleigh,
EIK,Yeysk,
EIN,Eindhoven Airport,
EJA,Variguies Airport,
EJH,Wedjh Airport,
MAG,Madang Airport,
PHR,Pacific Harbor,
SBB,Santa Barbara Ba,
SCZ,Santa Cruz Island,
DUF,Pine Island Airport,
SBK,Saint Brieuc-Armor,
SCI,San Cristobal,
SCK,Stockton Airport,
SBQ,Sibi,
SBX,Shelby,
SCW,Syktyvkar Airport,
SCO,Aktau International Airport,
SCP,St Crepin,
SCX,Salina Cruz,
SCY,San Cristobal Airport,
SDV,Dov Hoz Airport,
SDY,Richland Municipal Airport,
SED,Min'hat Hashnayim,
EJN,Ejin Banner Taolai Airport,
SEE,Gillespie Field,
SEF,Sebring Regional Airport,
SEI,Senhor Do Bonfim,
EKA,Murray Field,
EKB,Ekibastuz,
EKD,Elkedra,
EKI,Municipal,
EKN,Elkins,
EKO,Elko Airport,
EKS,Shakhtyorsk Airport,
SEG,Penn Valley,
EKX,Elizabethtown,
ELA,Eagle Lake,
SEM,Craig AFB,
ELB,San Bernado,
ELC,Elcho Island Airport,
ELD,South Arkansas Regional Airport,
ELG,El Golea Airport,
ELJ,El Recreo,
ELK,Municipal,
ELL,Ellisras,
ELN,Bowers Field,
ELO,Eldorado,
ELP,El Paso International Airport,
ELQ,Prince Nayef bin Abdulaziz Regional Airport,
ELS,East London Airport,
CNT,Charata,
SEP,Clark Field,
SEQ,Sungai Pakning,
SER,Freeman Municipalcipal,
SES,Selfield,
LMX,Lopez De Micay,
SET,San Esteban,
SEU,Seronera Airstrip,
SEO,Seguela,
SEW,Siwa,
SEY,Selibaby,
SFA,Sfax El Maou Airport,
SFC,St Francois,
SFZ,North Central,
SGA,Sheghnan,
SGD,Sonderborg Airport,
SGE,Siegerland Airport,
SGV,Sierra Grande,
SGH,Springfield,
SGI,Sargodha Airport,
SGL,Sangley Point NAS,
EGA,Engati,
ELT,Tour Sinai City,
ELU,Guemar Airport,
ELX,El Tigre,
ELY,Yelland,
ELZ,Municipal,
EMA,East Midlands Airport,
EMD,Emerald Airport,
EME,Emden,
EML,Emmen,
EMM,Kemerer,
EMP,Emporia,
EMT,El Monte,
EMX,El Maiten,
EMY,El Minya,
ENA,Kenai Municipal Airport,
ENB,Eneabba West,
ENC,Essey,
ENE,H. Hasan Aroeboesman Airport,
ENF,Enontekio,
ENH,Enshi Airport,
ENI,El Nido,
ENL,Municipal,
ENO,Teniente Prim Alarcon,
ENQ,Coronel E Soto Cano AB,
ENU,Enugu Airport,
ENV,Wendover,
ENY,Ershilipu Airport,
ELW,Ellamar,
PMN,Pumani,
SGM,San Ignacio,
EMS,Embessa,
SIM,Simbai,
SGR,Sugar Land Regional,
SGS,Sanga Sanga,
SGT,Stuttgart Municipalcipal,
SGU,Saint George Municipal Airport,
SHS,Shashi,
SHT,Shepparton,
SHZ,Seshutes,
SIB,Sibiti,
SIC,Sinop Airport,
SIE,Sines,
YGL,La Grande Airport,
KNE,Kanainj,
ENW,Kenosha Regional Airport,
EOH,Enrique Olaya Herrera Airport,
EOK,Keokuk,
EOZ,Elorza,
EPA,El Palomar,
YHO,Hopedale,
EPG,Browns,
EPH,Ephrata,
EPL,Mirecourt,
EPR,Esperance Airport,
EPS,Arroyo Barril International,
EPU,Parnu,
EQS,Esquel Airport,
ERA,Erigavo,
ERB,Ernabella,
ERC,Erzincan Airport,
ERD,Berdyansk,
ERF,Erfurt Airport,
ERG,Erbogachen Airport,
ERM,Comandante Kraemer,
ERN,Eirunepe,
ERQ,Elrose Mine,
ERR,Errol,
ERS,Eros Airport,
ERT,Erdenet,
FEZ,Fes-Saiss Airport,
FIG,Fria,
FIH,N'djili Airport,
FPR,St Lucie County,
FPY,Perry-Foley,
GUR,Gurney Airport,
LPN,Leron Plains,
PEP,Peppimenarti,
SIG,Isla Grande,
SIH,Silgadi Doti,
SIK,Memorial,
KCQ,Chignik,
CKD,Crooked Creek,
ERV,Kerrville,
SIN,Changi International Airport,
SHA,Shanghai Hongqiao International Airport,
SIQ,Dabo,
SIR,Sion,
SIS,Sishen Airport,
SHB,Nakashibetsu Airport,
WAJ,Wawoi Falls,
SIV,County,
SIW,Sibisa,
SIY,Siskiyou County,
SHF,Shihezi Huayuan Airport,
SHG,Shungnak Airport,
SHM,Shirahama Airport,
ERZ,Erzurum Airport,
SHN,Sanderson Field,
ESB,Esenboga International Airport,
SHV,Shreveport Regional Airport,
ESC,Delta County Airport,
ESE,Ensenada,
SHW,Sharurah Airport,
ESF,Esler Field,
SID,Amilcar Cabral International Airport,
ESI,Espinosa,
ESK,Eskisehir,
ESL,Elista Airport,
ESM,Esmeraldas Airport,
ESN,Easton,
ESO,Espanola,
TEH,Tetlin,
ESP,Birchwood-Pocono,
ESR,El Salvador,
ESS,Essen,
EST,Municipal,
ESU,Essaouira Airport,
EUF,Weedon Field,
EUG,Eugene Airport,
FRA,Frankfurt Airport,
FRB,Forbes,
FRC,Franca,
FRE,Fera Island Airport,
PGI,Chitato,
CAV,Cazombo,
THO,Thorshofn,
SIF,Simara,
SJH,San Juan Del Cesar,
THU,Pituffik Airport,
SJV,San Javier,
SJN,St. Johns Industrial Air Park,
SJZ,Sao Jorge Island Airport,
SKA,Fairchild AFB,
SJQ,Sesheke,
SKC,Suki,
SKH,Surkhet,
SKI,Skikda,
SKL,Broadford,
SKO,Sokoto,
SKP,Skopje Alexander the Great Airport,
SKQ,Sekakes,
ESW,State,
ETB,West Bend,
ETD,Etadunna,
ETE,Genda Wuha,
ETL,Svetlaya Airport,
ETN,Municipal,
ETR,Coronel Artilleria Victor Larrea Airport,
ETS,Municipal,
ETZ,Metz-Nancy-Lorraine Airport,
SKR,Shakiso,
SKT,Sialkot Airport,
SKU,Skiros Airport,
SKV,Mount Sinai,
SKX,Saransk Airport,
SLV,Simla,
TKD,Takoradi Airport,
EUC,Eucla,
EUM,Neumuenster,
EUN,Hassan I Airport,
EUO,Paratebueno,
EUQ,Evelio Javier,
EUX,F D Roosevelt Airport,
EVA,Landing Strip,
EVD,Eva Downs,
EVE,Harstad/Narvik Airport Evenes,
EVG,Sveg Airport,
EZV,Berezovo,
FRG,Republic Field,
FRH,Municipal,
FRI,Marshall AAF,
FRL,Luigi Ridolfi,
DYM,Diamantina Lakes,
SLW,Plan de Guadalupe International Airport,
SMO,Santa Monica,
SMA,Vila Do Porto Airport,
SMB,Cerro Sombrero,
SMD,Smith Field,
SME,Pulaski County,
SMG,Santa Maria,
TKB,Tekadu,
BIZ,Bimin,
SML,Estate Airstrip,
SMM,Semporna,
SMN,Salmon,
SMQ,H. Asan Airport,
SMR,Simon Bolivar International Airport,
SMT,Sun Moon Lake,
SNO,Sakon Nakhon Airport,
EVH,Evans Head,
EVM,Eveleth,
EVN,Zvartnots International Airport,
EVV,Evansville Regional Airport,
EVW,Evanston,
TKI,Tokeen,
EVX,Evreux,
EWB,New Bedford Airport,
EWI,Enarotali,
EWK,City-County,
EWN,Coastal Carolina Regional Airport,
EXM,Exmouth Gulf,
EYK,Beloyarsky Airport,
FCS,Butts AAF,
FRN,Bryant AAF,
FRO,Flora Airport,
FSP,Saint Pierre Airport,
FSS,Kinloss,
FST,Pecos County,
FSU,Fort Sumner,
FWM,Heliport,
FXE,Fort Lauderdale Executive Airport,
FXY,Municipal,
FYM,Municipal,
FZO,Filton,
GAK,Gakona,
GAQ,Gao,
GAT,Tallard,
GAU,Lokpriya Gopinath Bordoloi International Airport,
GBM,Garbaharey,
GBT,Gorgon Airport,
EBO,Ebon Airport,
SNW,Thandwe Airport,
EYR,Yerington,
ACC,Kotoka International Airport,
SNQ,San Quintin,
CBP,Coimbra,
SNR,Montoir Airport,
SNT,Sabana De Torres,
SNU,Santa Clara Airport,
SMZ,Stoelmans Eiland,
SNX,Sabana De Mar,
SNY,Sidney,
SNZ,Santa Cruz,
SOA,Soc Trang,
SOB,Sármellék/Balaton,
SOC,Adi Sumarmo International Airport,
SNB,Snake Bay,
SNH,Stanthorpe,
EYS,Eliye Springs,
EZS,Elazig Airport,
YRL,Red Lake Airport,
FAA,Faranah,
YSY,Sachs Harbour,
FAB,Farnborough,
SNL,Shawnee Municipal,
SNS,Salinas,
FAE,Vagar Airport,
SOK,Semongkong,
FAH,Farah,
SOM,Edmundo Barrios,
FAJ,Diego Jimenez Torres,
SOD,Sorocaba,
SPN,Saipan International Airport,
SPR,San Pedro,
SPS,Sheppard AFB,
FAL,Falcon State,
FAM,Regional,
FAR,Hector International Airport,
FAT,Fresno Yosemite International Airport,
FAY,Fayetteville Regional Airport,
FAZ,Fasa,
FBD,Faizabad Airport,
FBE,Francisco Beltrao,
FBG,Simmons AAF,
FBL,Municipal,
FBM,Lubumbashi International Airport,
FHU,Municipal,
NAQ,Qaanaaq Airport,
CKR,Crane Island,
SMC,Santa Maria,
SPU,Split Airport,
SPW,Spencer Municipal,
SQD,Shangrao Sanqingshan Airport,
SQI,Whiteside County,
SQJ,Sanming Shaxian Airport,
STN,Stansted Airport,
SVM,St Pauls,
YWR,White River,
SPJ,Eleftherios Venizelos,
SPM,Spangdahlem,
SPO,San Pablo,
SPQ,Catalina SPB,
YFA,Fort Albany,
SPD,Saidpur Airport,
SPP,Menongue,
SPT,Sipitang,
SPZ,Springdale Municipal,
SPX,Houston Gulf Airport,
SPY,San Pedro,
FBR,Fort Bridger,
FBY,Municipal,
FCA,Glacier Park International Airport,
SQA,Santa Ynez,
SQB,Santa Ana,
FCB,Ficksburg Sentra Oes,
FCH,Fresno-Chandler,
FCN,Cuxhaven/Nordholz,
FCO,Leonardo da Vinci-Fiumicino Airport,
FCY,Municipal,
FDE,Bringeland Airport,
FDF,Martinique Aime Cesaire International Airport,
FDH,Friedrichshafen Airport,
FDK,Frederick Municipal,
FDR,Municipal,
FDY,Findlay,
FEA,Fetlar,
FEB,Sanfebagar,
FLM,Filadelfia,
GBZ,Great Barrier Island,
GCA,Guacamaya,
GCC,Campbell County Airport,
GES,General Santos International Airport,
FEC,Feira De Santana,
TWA,Twin Hills,
SQE,San Luis De Pale,
SQG,Sorong Airport,
TSW,Tsewi,
SQK,Sidi Barani,
SQL,San Carlos,
SQM,São Miguel de Aragao,
YWB,Kangiqsujuaq Airport,
SQN,Sanana,
SQO,Gunnarn,
FEG,Fergana Airport,
FEJ,Feijo,
FEK,Ferkessedougou,
SQQ,Siauliai International Airport,
FEL,Fuerstenfeldbruck,
FEN,Fernando De Noronha Airport,
SRF,Hamilton Field,
SRG,Achmad Yani International Airport,
SRH,Sarh,
SRJ,Capitan G Q Guardia,
SRL,Santa Rosalia,
SRP,Stord Airport,
SRC,Searcy,
SRR,Dunwich,
SRS,Cartagena,
SRU,Skypark,
SRW,Rowan County,
FEP,Albertus,
SRX,Sert,
FES,San Fernando,
FET,Municipal,
FEW,Warren AFB,
FFD,Fairford RAF Station,
SRY,Dashte Naz Airport,
FFL,Municipal,
SRI,Temindung Airport,
FFM,Fergus Falls,
SRT,Soroti,
FFO,Patterson AFB,
FFT,Capital City,
FFU,Futaleufu,
FGI,Fagali I Airport,
FIL,Municipal,
FJR,Al-Fujairah International,
FKB,Baden-Airpark,
IES,Riesa,
CFF,Cafunfo,
PSV,Papa Stour,
SSE,Sholapur,
SSF,Stinson Municipalcipal,
SSG,Malabo Airport,
SSD,San Felipe,
SSI,Malcolm Mckinnon,
SSL,Santa Rosalia,
SQV,Sequim Valley Airport,
SSN,Seoul AB,
YMN,Makkovik Airport,
SSO,Sao Lourenco,
SQY,Sao Lourenco Do Sul,
SRQ,Sarasota Bradenton International Airport,
SRZ,El Trompillo,
SSA,Deputado Luis Eduardo Magalhaes International Airport,
SSH,Sharm El Sheikh Airport,
SSJ,Stokka Airport,
YHR,Chevery,
SUH,Sur,
STM,Santarem-Maestro Wilson Fonseca Airport,
TWP,Torwood,
FKI,Bangoka International Airport,
FKJ,Fukui,
FKL,Venango Regional Airport,
FKN,Municipal,
FKQ,Fak Fak Airport,
FKS,Fukushima Airport,
FLA,Capitolio Airport,
FLB,Cangapara,
FLC,Falls Creek,
CVL,Cape Vogel,
FLD,Fond Du Lac,
FLF,Schaferhaus,
FLG,Flagstaff Pulliam Airport,
FLJ,Falls Bay,
FLN,Hercilio Luz International Airport,
FLO,Florence Airport,
FLP,Flippin,
FLR,Firenze-Peretola Airport,
FRM,Fairmont,
GET,Geraldton Airport,
GEV,Gallivare Airport,
GEW,Gewoia,
GEX,Geelong,
GEY,South Big Horn County,
HBT,Hafr Albatin,
RIN,Ringi Cove,
STS,Sonoma County Airport,
XTL,Tadoule Lake,
STQ,St Marys,
STR,Stuttgart Airport,
SUA,Witham Field,
STU,Santa Cruz,
SUC,Schloredt,
STW,Stavropol Airport,
STY,Salto,
SUD,Stroud,
SUI,Babusheri,
SVI,San Vicente,
SVJ,Helle Airport,
FLS,Flinders Island Airport,
FLV,Sherman AAF,
FLZ,Ferdinand Lumban Tobing Airport,
UMC,Umba,
LLP,Linda Downs,
SVN,Hunter AAF,
KIF,Kingfisher Lake,
FMA,El Pucu Airport,
SUL,Sui,
SVT,Savuti,
SVX,Koltsovo International Airport,
SVZ,San Antonio,
FME,Tipton AAF,
XRR,Ross River,
FMH,Otis AFB,
FMI,Kalemie Airport,
FMM,Memmingen Allgau Airport,
FMN,Four Corners Regional Airport,
FMO,Munster Osnabruck International Airport,
FMS,Municipal,
FMU,Florence Municipal,
FMY,Page Field,
FNG,Fada Ngourma,
FNH,Fincha,
FNI,Garons Airport,
FNJ,Pyongyang Sunan International Airport,
GFD,Pope Field,
GFE,Grenfell,
GFF,Griffith Airport,
GFK,Grand Forks International Airport,
GFL,Warren County,
GFN,Grafton Airport,
SUN,Friedman Memorial Airport,
SUV,Nausori Airport,
SUW,Richard I Bong Airport,
SWH,Swan Hill,
SUX,Sioux Gateway Airport,
SUY,Suntar,
AKF,Kufrah,
BEN,Benina International,
SVA,Savoonga Airport,
SVC,Grant County Airport,
SVG,Stavanger Airport Sola,
BUA,Buka,
FNT,Bishop International Airport,
SVH,Statesville Municipal,
SVL,Savonlinna Airport,
FNU,Fenosu,
FOB,Fort Bragg,
SVO,Sheremetyevo International Airport,
FOD,Fort Dodge Airport,
SXE,Sale,
SXF,Schonefeld Airport,
SXJ,Shanshan,
SXK,Saumlaki Olilit Airport,
SXG,Senanga,
SXN,Suapan,
SXO,Sao Felix Do Araguaia,
SXU,Soddu,
SXR,Srinagar International Airport,
SXS,Sahabat 16,
SXT,Taman Negara,
SXV,Salem,
SXY,Sidney,
SXX,Sao Felix Do Xingu,
